[2025-04-22 09:40:55] Uploaded to table: , Rows: 44251, Status: success
[2025-05-09 16:22:09] Uploaded to table: accts_dis, Rows: 1483, Status: success
[2025-05-09 16:22:41] Uploaded to table: accts_dor, Rows: 15606, Status: success
[2025-05-09 16:23:01] Uploaded to table: accts_gcr, Rows: 3050, Status: success
[2025-05-09 16:23:29] Uploaded to table: accts_pay, Rows: 44535, Status: success
[2025-05-09 16:25:25] Uploaded to table: accts_rev, Rows: 42138, Status: success
[2025-05-09 16:26:39] Uploaded to table: mtd, Rows: 852, Status: success
[2025-05-13 10:01:31] Uploaded to table: accts_sub, Rows: 23715, Status: success
[2025-05-13 10:03:24] Uploaded to table: accts_chg, Rows: 74175, Status: success
[2025-05-13 10:03:45] Uploaded to table: accts_dis, Rows: 1485, Status: success
[2025-05-13 10:04:11] Uploaded to table: accts_dor, Rows: 16510, Status: success
[2025-05-13 10:04:28] Uploaded to table: accts_gcr, Rows: 3351, Status: success
[2025-05-13 10:05:03] Uploaded to table: accts_pay, Rows: 44560, Status: success
[2025-05-13 10:06:54] Uploaded to table: accts_rev, Rows: 42160, Status: success
[2025-05-13 10:07:12] Uploaded to table: mtd, Rows: 852, Status: success
[2025-05-14 14:47:37] Uploaded to table: accts_sub, Rows: 23730, Status: success
[2025-05-14 14:48:05] Uploaded to table: accts_chg, Rows: 74151, Status: success
[2025-05-14 14:48:13] Uploaded to table: accts_dis, Rows: 1489, Status: success
[2025-05-14 14:48:25] Uploaded to table: accts_dor, Rows: 17298, Status: success
[2025-05-14 14:48:35] Uploaded to table: accts_gcr, Rows: 3620, Status: success
[2025-05-14 14:48:47] Uploaded to table: accts_pay, Rows: 44545, Status: success
[2025-05-14 14:49:17] Uploaded to table: accts_rev, Rows: 42145, Status: success
[2025-05-14 14:50:02] Uploaded to table: mtd, Rows: 852, Status: success
[2025-05-26 15:45:02] Uploaded to table: accts_sub, Rows: 23878, Status: success
[2025-05-26 15:45:34] Uploaded to table: accts_chg, Rows: 74359, Status: success
[2025-05-26 15:45:50] Uploaded to table: accts_dis, Rows: 1498, Status: success
[2025-05-26 15:46:05] Uploaded to table: accts_dor, Rows: 17436, Status: success
[2025-05-26 15:46:24] Uploaded to table: accts_gcr, Rows: 4903, Status: success
[2025-05-26 15:47:03] Uploaded to table: accts_pay, Rows: 44699, Status: success
[2025-05-26 15:48:27] Uploaded to table: accts_rev, Rows: 42276, Status: success
[2025-05-26 15:48:42] Uploaded to table: mtd, Rows: 852, Status: success
[2025-05-29 16:18:56] Uploaded to table: accts_sub, Rows: 23949, Status: success
[2025-05-29 16:19:58] Uploaded to table: accts_chg, Rows: 74398, Status: success
[2025-05-29 16:20:07] Uploaded to table: accts_dis, Rows: 1504, Status: success
[2025-05-29 16:20:33] Uploaded to table: accts_dor, Rows: 17442, Status: success
[2025-05-29 16:20:53] Uploaded to table: accts_gcr, Rows: 5295, Status: success
[2025-05-29 16:21:12] Uploaded to table: accts_pay, Rows: 44724, Status: success
[2025-05-29 16:21:59] Uploaded to table: accts_rev, Rows: 42298, Status: success
[2025-05-29 16:22:58] Uploaded to table: mtd, Rows: 852, Status: success
[2025-05-30 17:09:46] Uploaded to table: accts_sub, Rows: 23727, Status: success
[2025-05-30 17:10:43] Uploaded to table: accts_chg, Rows: 74443, Status: success
[2025-05-30 17:10:51] Uploaded to table: accts_dis, Rows: 1504, Status: success
[2025-05-30 17:11:20] Uploaded to table: accts_dor, Rows: 16739, Status: success
[2025-05-30 17:13:25] Uploaded to table: accts_gcr, Rows: 5909, Status: success
[2025-05-30 17:17:46] Uploaded to table: accts_pay, Rows: 44762, Status: success
[2025-05-30 17:18:16] Uploaded to table: accts_rev, Rows: 42334, Status: success
[2025-05-30 17:19:20] Uploaded to table: mtd, Rows: 852, Status: success
[2025-06-17 16:04:49] Uploaded to table: accts_chg, Rows: 74679, Status: success
[2025-06-19 09:51:03] Uploaded to table: accts_sub, Rows: 23918, Status: success
[2025-06-19 09:51:18] Uploaded to table: accts_chg, Rows: 74705, Status: success
[2025-06-19 09:51:27] Uploaded to table: accts_dis, Rows: 1522, Status: success
[2025-06-19 09:51:38] Uploaded to table: accts_dor, Rows: 17846, Status: success
[2025-06-19 09:51:49] Uploaded to table: accts_gcr, Rows: 3013, Status: success
[2025-06-19 09:52:01] Uploaded to table: accts_pay, Rows: 44947, Status: success
[2025-06-19 09:52:30] Uploaded to table: accts_rev, Rows: 42496, Status: success
[2025-06-19 09:52:51] Uploaded to table: mtd, Rows: 852, Status: success
[2025-06-20 15:35:38] Uploaded to table: accts_sub, Rows: 23933, Status: success
[2025-06-20 15:36:38] Uploaded to table: accts_chg, Rows: 74744, Status: success
[2025-06-20 15:37:16] Uploaded to table: accts_dis, Rows: 1525, Status: success
[2025-06-20 15:37:39] Uploaded to table: accts_dor, Rows: 17662, Status: success
[2025-06-20 15:37:54] Uploaded to table: accts_gcr, Rows: 3290, Status: success
[2025-06-20 15:38:23] Uploaded to table: accts_pay, Rows: 44979, Status: success
[2025-06-20 15:38:49] Uploaded to table: accts_rev, Rows: 42524, Status: success
[2025-06-20 15:39:09] Uploaded to table: mtd, Rows: 852, Status: success
[2025-06-23 15:21:27] Uploaded to table: accts_sub, Rows: 24001, Status: success
[2025-06-23 15:22:38] Uploaded to table: accts_chg, Rows: 74772, Status: success
[2025-06-23 15:23:11] Uploaded to table: accts_dis, Rows: 1528, Status: success
[2025-06-23 15:23:36] Uploaded to table: accts_dor, Rows: 17615, Status: success
[2025-06-23 15:23:54] Uploaded to table: accts_gcr, Rows: 3601, Status: success
[2025-06-23 15:24:36] Uploaded to table: accts_pay, Rows: 44994, Status: success
[2025-06-23 15:25:41] Uploaded to table: accts_rev, Rows: 42536, Status: success
[2025-06-23 15:26:01] Uploaded to table: mtd, Rows: 852, Status: success
[2025-06-26 17:21:40] Uploaded to table: accts_chg, Rows: 74816, Status: success
[2025-06-27 17:12:03] Uploaded to table: accts_chg, Rows: 74816, Status: success
[2025-07-16 21:57:33] Uploaded to table: mtd, Rows: 852, Status: success
[2025-07-16 22:11:54] Uploaded to table: mtd, Rows: 852, Status: success
